title,price,quantity,currency,SRD,CHF,HTG,VUV,NOK,TMT
LANCÔME Teint Idole Ultra Wear All Over Concealer Correcteur et Fond de...,0.0,1,CFA,0.0,0.0,0.0,0.0,0.0,0.0
CATRICE Blush Box Glowing + Multicolour,23500.0,1,CFA,866.8813950000001,34.51633,4409.085275,4146.340705,346.494575,125.13421
ESSENCE Instant Matt Spray Fixateur Fini Mat,4900.0,1,CFA,180.753993,7.1970220000000005,919.341185,864.556147,72.247805,26.091814
NARS Mini Radiant Creamy Concealer Anti-cernes,4500.0,1,CFA,165.998565,6.60951,844.292925,793.980135,66.350025,23.961869999999998
LA GIRL Moonlight Magic Fanatic Highlighting Palette,15000.0,1,CFA,553.3285500000001,22.0317,2814.30975,2646.60045,221.16674999999998,79.8729
LA GIRL Shimmer Spray Fixant Illuminateur,10000.0,1,CFA,368.88570000000004,14.687800000000001,1876.2065,1764.4003,147.4445,53.248599999999996
KARA Beauty Dazzling Lights Highlighter Compact,7900.0,1,CFA,291.419703,11.603362,1482.203135,1393.876237,116.48115499999999,42.066393999999995
L’OREAL Infallible 24H Full Wear Waterproof Matte Concealer,6900.0,1,CFA,254.531133,10.134582,1294.582485,1217.436207,101.736705,36.741534
L’OREAL Infallible 24H Fresh Wear Waterproof Fond de Teint en Poudre...,8900.0,1,CFA,328.30827300000004,13.072142000000001,1669.823785,1570.316267,131.225605,47.391253999999996
REVOLUTION Superdewy Liquid Highlighter,14000.0,1,CFA,516.43998,20.562920000000002,2626.6891,2470.16042,206.42229999999998,74.54804
REVOLUTION Pro Highlighting Potion Enlumineur,5500.0,1,CFA,202.887135,8.07829,1031.913575,970.420165,81.094475,29.28673
CATRICE Blush Box Fard à Joues Matte Water + Sweatproof,9000.0,1,CFA,331.99713,13.21902,1688.58585,1587.96027,132.70005,47.923739999999995
KIKO Charming Escape Silky Blush,4000.0,1,CFA,147.55428,5.87512,750.4826,705.76012,58.977799999999995,21.29944
REVOLUTION Hot Shot Kombucha Glow Highlighter Palette,7900.0,1,CFA,291.419703,11.603362,1482.203135,1393.876237,116.48115499999999,42.066393999999995
REVOLUTION Pro CC Perfecting Poudre Pressée Perfectrice,12000.0,1,CFA,442.66284,17.62536,2251.4478,2117.2803599999997,176.93339999999998,63.89832
BARRY M COSMETICS Ready Set Smooth Poudre Libre Matifiante Fixatrice,10500.0,1,CFA,387.329985,15.42219,1970.016825,1852.620315,154.816725,55.91103
DE’LANCI Palette Blush & Illuminateurs,8000.0,1,CFA,295.10856,11.75024,1500.9652,1411.52024,117.95559999999999,42.59888
SLEEK Makeup Lifeproof Brume Fixatrice Lumineuse,7000.0,1,CFA,258.21999,10.281460000000001,1313.34455,1235.08021,103.21114999999999,37.27402
MAYBELLINE Fit Me! Matte + Poreless Base Matifiante SPF20,12500.0,1,CFA,461.10712500000005,18.359750000000002,2345.258125,2205.500375,184.305625,66.56075
TOO FACED Born This Way Matte Fond de Teint Longue Tenue Indétectable,11000.0,1,CFA,405.77427,16.15658,2063.82715,1940.84033,162.18895,58.57346
